Date,CPI or Inflation,RecessionDates,FederalFundsRate,GrossDomesticProduct,Leverage,LongShortTreasurySpread,Will5000index,FutureCapex,Orders
1976-10-01,1.16212,0.0,4.874239130434783,2.52921,-3.41759,0.3676895491803279,1.99501,41.266666666666666,16.43333333333333
1977-01-01,1.72315,0.0,4.660666666666667,2.81113,-11.28028,-0.1351548269581057,-0.7335,37.93333333333332,26.46666666666666
1977-04-01,2.20215,0.0,5.157472527472528,3.38225,-14.73983,-0.0839682539682539,0.49261000000000005,32.8,25.43333333333333
1977-07-01,1.43646,0.0,5.816413043478261,3.04313,-25.28489,-0.4334920634920635,0.4902,30.1,15.466666666666665
1977-10-01,1.08932,0.0,6.511304347826087,2.1617900000000003,-32.69231,-0.35992857142857143,-0.9756100000000001,33.8,16.566666666666666
1978-01-01,1.7241400000000002,0.0,6.759555555555556,1.77843,-17.70115,0.011560109289617487,-2.95567,32.3,12.0
1978-04-01,2.54237,0.0,7.282637362637361,5.8505199999999995,7.40223,-0.14512360135310953,11.675130000000001,22.53333333333333,16.73333333333333
1978-07-01,2.37603,0.0,8.09478260869565,2.71998,-64.75943000000001,-0.30460317460317465,8.63636,3.6,14.566666666666666
1978-10-01,2.01816,0.0,9.57782608695652,3.4193800000000003,-405.53506,-0.5250273224043716,-7.32218,15.433333333333332,13.3
1979-01-01,2.4728,0.0,10.073222222222222,2.00493,22.58454,-0.1795425700687467,7.90068,12.366666666666665,-0.8333333333333331
1979-04-01,3.4749,1.0,10.181978021978022,2.55825,-30.147779999999997,0.21161290322580645,5.43933,22.93333333333333,0.3
1979-07-01,3.3115699999999997,1.0,10.940108695652174,2.94522,27.78561,0.039464925755248334,8.73016,18.53333333333333,-15.1
1979-10-01,2.84424,1.0,13.580217391304348,2.11121,23.06843,-0.6816991933385376,2.89482,8.533333333333333,-12.83333333333333
1980-01-01,3.9508300000000003,1.0,15.065274725274723,2.42151,30.582959999999996,-0.1593786356425172,4.3406,13.4,-24.03333333333333
